id,content,rating
4992,"Kinda cute or whatever. I never liked Hilary Duff in her prime (mostly due to some inexplicable aversion to her face), but she actually seemed to be a pretty grounded teen actress. Nice to see Cougar Town's moon-faced Dan Byrd as the sacrificial guy best friend.",2
4993,"Nice, light drama for teenagers (especially girls).",3
4994,"its okay, but its not at all my kind of movie!",2
4995,An updated Cinderella. OK for a fairytale.,3
4996,Just another typical Hollywood movie!,3
4997,The worst movie I've seen this year. It's overflowing with boring people and even more boring improvsied dialogue. The only reason I gave it one star is because it was filmed using 35mm and looks great.,1
4998,"I love this movie. In one shot, Rosemarie DeWitt can convey in an instant regret, anger, excitement, arousal and disappointment. She and Jake Johnson make for a believable, ordinary couple in an extraordinarily affluent world. I admire Swanbergs choices to empower his actors with helping him tell the story with improvisation, but also his stylistic choices. His best film yet.",5
4999,"A documentary that looks at the legacy of the US's War On Drugs. It's undeniably fascinating subject matter but its filmed in a rather sedate, distancing manner, I wanted something more passionate and angry, more exhaustive.",3
5000,"Pretty good documentary about the evils of cops, politicians, prosecutors and judges serving the almighty dollar, if not just their completely racist fantasies. All because the ignorant American population lets them.",4
5001,As a film its a bit incoherent and veers a little towards left wing conspiracy but it certainly address important issues.,3
5002,"Although not as memorable or controlling as the first, Pitch Perfect 2 is still vivacious, crude and entertaining. The film builds up from its sensational start and provides even more impactful numbers and catchy tunes to make for a pretty good sequel.",4
5003,A completely washed out script that is saved by some good singing.,2
5004,"No where near as charming or addictive as the first, Pitch Perfect 2 has a bit of an identity crises and the writing is just not good enough, bit winning performances from Kendrik and Wilson and zippy direction from Banks have me hopeful for a return to film with a possible threequel.",3
5005,"I love the music and I love the characters, but this installment is nowhere near as funny as the first one was, and there was way less of the music that made the first film so great. With more music and less stupid one-liners, I would have enjoyed this one much more.",3
5006,"Simple, but solid indie with suspense and beautiful cinematography.",4
5007,One of the best films of the year. A masterpiece.,5
5008,"Kind of meh, but reminded me of old exploitation movies from the 70s. Kevin Bacon is pretty good and the movie flies by, but it's a bit silly. A quick, painless watch that could be worse.",3
5009,"Intriguingly cruel, but disappointingly lazy for much of the second half. Nicely shot though!",3
5010,The first movie I have seen in a long time that I walked away from feeling like I really understood the actions and conversations taken place by the children.,4
5011,"A gripping, tastefully-told story. Little more, little less.",3
5012,Meh. Good performances ruined by a stupid plot.,2
5013,Very simple premise but solid indie film. Darker than expected.,3
5014,"This movie is bad, yes, but it's an interesting type of bad movie. A lot of really cool sets and other odd visual decisions make this a rather intriguing failure. The main problem is just how boring the whole thing is, and i mean tediously boring, dull, lifeless. Uma Thurman is probably the most boring actress i have ever seen in my life. From this to Kill BIll her range hasn't improved one bit.",3
5015,"One of my childhood movies, boring for most but a guilty pleasure of mine.",3
5016,I tried sooooooooo hard to like this movie. I really really did.,1
5017,"A cliche romance that does not live up to it's massive hype. The connection between the two narratives is easily figured out in advanced, and the relationship between the two characters is hard to believe. It's a film for a certain type of audience, and director Nick Cassavetes makes all attempts to wring every tear from that audience.",3
5018,"Every girl's favorite movie! It's pretty touching, coming from a dude.",4
5019,"To say this movie is horrible and unenjoyable is completely unfair. It is in fact highly enjoyable and touching. However, there is a bit too much sap for me.",3
5020,"Suspenseful, intense, heartwrenching, nail-biting, and just quite simply amazing. The performances and direction were brilliant. The script and dialogue could've been better but I loved what came out of this film.",4
